bathrooms,bedrooms,floor_area,href,latitude,listing_url,location,longitude,price,title,type
2 ,2 ,79 sqm,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-493132.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-493132.html,,,"99,888BHD",AMAZING OFFER FULLY FURNISHED EASY PAYMENT PLAN,Apartment
4 ,3 ,157 sqm,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-493121.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-493121.html,,,"255,888BHD",LUXURIOUS FLATS @ ADDRESS MARASSI AL BAHRAIN,Apartment
3 ,2 ,104 sqm,/en/buy/apartment-for-sale-capital-governorate-al-juffair-493021.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-493021.html,,,"105,000BHD",Brand-new apartment for sale and BD 800 for rent,Apartment
6 ,5 ,320 sqm,/en/buy/villa-for-sale-northern-governorate-sadad-492561.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-sadad-492561.html,,,"148,000BHD",Modren design I Amazing villa with large garden,Villa
bathrooms,bedrooms,floor_area,href,latitude,listing_url,location,longitude,price,title,type
3 ,2 ,117 sqm,/en/buy/apartment-for-sale-capital-governorate-al-juffair-493545.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-493545.html,,,"98,000BHD",Sea view apartment in the heart of Juffair,Apartment
5 ,4 ,319 sqm,/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-naseem-493897.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-naseem-493897.html,,,"262,445BHD","Modern, Canal View Villa, Secure Gated",Villa
2 ,1 ,76 sqm,/en/buy/apartment-for-sale-capital-governorate-manama-bahrain-financial-harbour-493497.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-manama-bahrain-financial-harbour-493497.html,,,"99,000BHD",Enviable Water Front Location-Negotiable for Cash!,Apartment
2 ,2 ,103 sqm,/en/buy/apartment-for-sale-capital-governorate-al-juffair-493028.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-493028.html,,,"61,000BHD",Investment opportunity for new buyers or investors,Apartment
4 ,3 ,157 sqm,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-493121.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-493121.html,,,"255,888BHD",LUXURIOUS FLATS @ ADDRESS MARASSI AL BAHRAIN,Apartment
